Target Company Name;Full Name;P_ID;Primary SIC Code;Dimensions;1951;1952;1953;1954;1955;1956;1957;1958;1959;1960;1961;1962;1963;1964;1965;1966;1967;1968;1969;1970;1971;1972;1973;1974;1975;1976;1977;1978;1979;1980;1981;1982;1983;1984;1985;1986;1987;1988;1989;1990;1991;1992;1993;1994;1995;1996;1997;1998;1999;2000;2001;2002;2003;2004;2005;2006;2007;2008;2009;2010;2011;2012;2013;2014;2015;2016;2017;2018;2019;2020;2021
AFFILIATED COMPUTER SERVICES;Lynn R. Blodgett;30697Lynn R. Blodgett;7374;Titles;Z;Z;Z;Z;Z;Z;Z;Z;Z;Z;Z;Z;Z;Z;Z;Z;Z;Z;Z;Z;Z;Z;Z;Z;Z;Z;Z;Z;Z;Z;Z;Z;Z;Z;D;D;D;D;D;D;D;D;D;D;D;D;D;D;K;K;K;K;K;K;J;L;L;L;L;K;Z;Z;Z;Z;Z;Z;Z;Z;Z;Z;Z
AFFILIATED COMPUTER SERVICES;Lynn R. Blodgett;30697Lynn R. Blodgett;7374;DesignationDetail;Z;Z;Z;Z;Z;Z;Z;Z;Z;Z;Z;Z;Z;Z;Z;Z;Z;Z;Z;Z;Z;Z;Z;Z;Z;Z;Z;Z;Z;Z;Z;Z;Z;Z;co-founder;co-founder;co-founder;co-founder;pres.;pres.;pres.;pres.;pres.;pres.;pres.;pres.;pres.;pres.;exec. v.p., group pres., comml. solutions;exec. v.p., group pres., comml. solutions;exec. v.p., group pres., comml. solutions;exec. v.p., group pres., comml. solutions;exec. v.p., group pres., comml. solutions;exec. v.p., group pres., comml. solutions;exec. v.p., group pres., comml. Solutions,v.p., COO;CEO and pres;CEO and pres;CEO and pres;CEO and pres;corp. exec. v.p.,;Z;Z;Z;Z;Z;Z;Z;Z;Z;Z;Z
AFFILIATED COMPUTER SERVICES;Lynn R. Blodgett;30697Lynn R. Blodgett;7374;Changes;Z;Z;Z;Z;Z;Z;Z;Z;Z;Z;Z;Z;Z;Z;Z;Z;Z;Z;Z;Z;Z;Z;Z;Z;Z;Z;Z;Z;Z;Z;Z;Z;Z;Z;1;1;1;1;1;2;1;1;1;1;1;1;1;1;2;1;1;1;1;1;2;2;1;1;1;2;Z;Z;Z;Z;Z;Z;Z;Z;Z;Z;Z
AFFILIATED COMPUTER SERVICES;Lynn R. Blodgett;30697Lynn R. Blodgett;7374;Board Memberships;Z;Z;Z;Z;Z;Z;Z;Z;Z;Z;Z;Z;Z;Z;Z;Z;Z;Z;Z;Z;Z;Z;Z;Z;Z;Z;Z;Z;Z;Z;Z;Z;Z;Z;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;2;2;2;2;2;Z;Z;Z;Z;Z;Z;Z;Z;Z;Z;Z
AGILENT TECHNOLOGIES INC;William P. Sullivan;126554William P. Sullivan;3825;Companies;Z;Z;Z;Z;Z;Z;Z;Z;Z;Z;Z;Z;Z;Z;Z;Z;Z;Z;Z;Z;Z;Z;Z;Z;Z;C;C;C;C;C;C;C;C;C;C;C;C;C;C;C;C;C;C;C;C;C;C;C;A;A;A;A;A;A;A;A;A;A;A;A;A;A;Z;Z;Z;Z;Z;Z;Z;Z;Z
AGILENT TECHNOLOGIES INC;William P. Sullivan;126554William P. Sullivan;3825;NameOf Company;Z;Z;Z;Z;Z;Z;Z;Z;Z;Z;Z;Z;Z;Z;Z;Z;Z;Z;Z;Z;Z;Z;Z;Z;Z;Hewlett-Packard Co.;Hewlett-Packard Co.;Hewlett-Packard Co.;Hewlett-Packard Co.;Hewlett-Packard Co.;Hewlett-Packard Co.;Hewlett-Packard Co.;Hewlett-Packard Co.;Hewlett-Packard Co.;Hewlett-Packard Co.;Hewlett-Packard Co.;Hewlett-Packard Co.;Hewlett-Packard Co.;Hewlett-Packard Co.;Hewlett-Packard Co.;Hewlett-Packard Co.;Hewlett-Packard Co.;Hewlett-Packard Co.;Hewlett-Packard Co.;Hewlett-Packard Co.;Hewlett-Packard Co.;Hewlett-Packard Co. 3570;Hewlett-Packard Co.;Agilent Technologies, Inc.;Agilent Technologies, Inc.;Agilent Technologies, Inc.;Agilent Technologies, Inc.;Agilent Technologies, Inc.;Agilent Technologies, Inc.;Agilent Technologies, Inc.;Agilent Technologies, Inc.;Agilent Technologies, Inc.;Agilent Technologies, Inc.;Agilent Technologies, Inc.;Agilent Technologies, Inc.;Agilent Technologies, Inc.;Agilent Technologies, Inc.;Z;Z;Z;Z;Z;Z;Z;Z;Z
AGILENT TECHNOLOGIES INC;William P. Sullivan;126554William P. Sullivan;3825;Titles;Z;Z;Z;Z;Z;Z;Z;Z;Z;Z;Z;Z;Z;Z;Z;Z;Z;Z;Z;Z;Z;Z;Z;Z;Z;H;H;H;H;H;H;H;H;H;H;H;H;H;H;H;H;H;H;H;D;D;D;I;I;I;I;J;J;J;L;L;L;L;L;L;L;L;Z;Z;Z;Z;Z;Z;Z;Z;Z
AGILENT TECHNOLOGIES INC;William P. Sullivan;126554William P. Sullivan;3825;DesignationDetail;Z;Z;Z;Z;Z;Z;Z;Z;Z;Z;Z;Z;Z;Z;Z;Z;Z;Z;Z;Z;Z;Z;Z;Z;Z;various positions;various positions;various positions;various positions;various positions;various positions;various positions;various positions;various positions;various positions;various positions;various positions;various positions;various positions;various positions;various positions;various positions;various positions;various positions;gen. mgr., Optical Comm. Divsn.;gen. mgr., Optical Comm. Divsn.;gen. mgr., Optical Comm. Divsn.;gen. mgr., v.p., Semiconductor Products Group;sr. v.p., gen. mgr., SPG,;sr. v.p., gen. mgr., SPG,;sr. v.p., gen. mgr., SPG,;exec. v.p., COO;exec. v.p., COO;exec. v.p., COO;pres., CEO ;pres., CEO ;pres., CEO ;pres., CEO ;pres., CEO ;pres., CEO ;pres., CEO ;pres., CEO ;Z;Z;Z;Z;Z;Z;Z;Z;Z
AGILENT TECHNOLOGIES INC;William P. Sullivan;126554William P. Sullivan;3825;Changes;Z;Z;Z;Z;Z;Z;Z;Z;Z;Z;Z;Z;Z;Z;Z;Z;Z;Z;Z;Z;Z;Z;Z;Z;Z;1;1;1;1;2;1;1;1;1;2;1;1;1;1;2;1;1;1;1;2;1;2;2;3;1;1;2;1;1;2;1;1;1;1;1;1;1;Z;Z;Z;Z;Z;Z;Z;Z;Z
AGILENT TECHNOLOGIES INC;William P. Sullivan;126554William P. Sullivan;3825;Board Memberships;Z;Z;Z;Z;Z;Z;Z;Z;Z;Z;Z;Z;Z;Z;Z;Z;Z;Z;Z;Z;Z;Z;Z;Z;Z;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;2;2;2;2;2;2;2;2;Z;Z;Z;Z;Z;Z;Z;Z;Z
AGL RESOURCES INC;Paula G. Rosput Reynolds;1837Paula G. Rosput Reynolds ;4924;Companies;Z;Z;Z;Z;Z;Z;Z;Z;Z;Z;Z;Z;Z;Z;Z;Z;Z;Z;Z;Z;Z;Z;Z;Z;Z;Z;Z;Z;Z;Z;Z;Z;Z;Z;Z;Z;Z;Z;Z;Z;Z;Z;Z;Z;C;C;C;A;A;A;A;A;A;A;A;C;C;C;C;Z;Z;Z;Z;Z;Z;Z;Z;Z;Z;Z;Z
AGL RESOURCES INC;Paula G. Rosput Reynolds;1837Paula G. Rosput Reynolds ;4924;NameOf Company;Z;Z;Z;Z;Z;Z;Z;Z;Z;Z;Z;Z;Z;Z;Z;Z;Z;Z;Z;Z;Z;Z;Z;Z;Z;Z;Z;Z;Z;Z;Z;Z;Z;Z;Z;Z;Z;Z;Z;Z;Z;Z;Z;Z;Duke Energy North America, 4911;Duke Energy North America,;Duke Energy North America,;AGL Resources;AGL Resources;AGL Resources;AGL Resources;AGL Resources;AGL Resources;AGL Resources;AGL Resources;Safeco Corp. 6331;Safeco Corp.;Safeco Corp.;PreferWest, LLC;Z;Z;Z;Z;Z;Z;Z;Z;Z;Z;Z;Z
AGL RESOURCES INC;Paula G. Rosput Reynolds;1837Paula G. Rosput Reynolds ;4924;Titles;Z;Z;Z;Z;Z;Z;Z;Z;Z;Z;Z;Z;Z;Z;Z;Z;Z;Z;Z;Z;Z;Z;Z;Z;Z;Z;Z;Z;Z;Z;Z;Z;Z;Z;Z;Z;Z;Z;Z;Z;Z;Z;Z;Z;K;K;K;J;J;L;L;L;L;L;L;K;K;K;K;Z;Z;Z;Z;Z;Z;Z;Z;Z;Z;Z;Z
AGL RESOURCES INC;Paula G. Rosput Reynolds;1837Paula G. Rosput Reynolds ;4924;DesignationDetail;Z;Z;Z;Z;Z;Z;Z;Z;Z;Z;Z;Z;Z;Z;Z;Z;Z;Z;Z;Z;Z;Z;Z;Z;Z;Z;Z;Z;Z;Z;Z;Z;Z;Z;Z;Z;Z;Z;Z;Z;Z;Z;Z;Z;pres. CEO;pres. CEO;pres. CEO;pres., COO;pres., COO;pres., CEO;pres., CEO;pres., CEO, chairman;pres., CEO, chairman;pres., CEO, chairman;pres., CEO, chairman;res., CEO;res., CEO;res., CEO;pres., CEO;Z;Z;Z;Z;Z;Z;Z;Z;Z;Z;Z;Z
AGL RESOURCES INC;Paula G. Rosput Reynolds;1837Paula G. Rosput Reynolds ;4924;Changes;Z;Z;Z;Z;Z;Z;Z;Z;Z;Z;Z;Z;Z;Z;Z;Z;Z;Z;Z;Z;Z;Z;Z;Z;Z;Z;Z;Z;Z;Z;Z;Z;Z;Z;Z;Z;Z;Z;Z;Z;Z;Z;Z;Z;1;1;1;3;1;2;1;2;1;1;1;3;1;1;3;Z;Z;Z;Z;Z;Z;Z;Z;Z;Z;Z;Z
AGL RESOURCES INC;Paula G. Rosput Reynolds;1837Paula G. Rosput Reynolds ;4924;Board Memberships;Z;Z;Z;Z;Z;Z;Z;Z;Z;Z;Z;Z;Z;Z;Z;Z;Z;Z;Z;Z;Z;Z;Z;Z;Z;Z;Z;Z;Z;Z;Z;Z;Z;Z;Z;Z;Z;Z;Z;Z;Z;Z;Z;Z;1;1;1;1;1;4;4;4;4;4;4;4;3;3;3;Z;Z;Z;Z;Z;Z;Z;Z;Z;Z;Z;Z
AGL RESOURCES INC;D. Raymond Riddle;1837D. Raymond Riddle;4924;Companies;Z;Z;Z;Z;Z;Z;Z;C;C;C;C;C;C;C;C;C;C;C;C;C;C;C;C;C;C;C;C;C;C;C;C;C;C;C;C;C;C;Z;Z;Z;Z;Z;Z;Z;Z;Z;Z;Z;Z;Z;Z;Z;Z;Z;Z;A;Z;Z;Z;Z;Z;Z;Z;Z;Z;Z;Z;Z;Z;Z;Z
AGL RESOURCES INC;D. Raymond Riddle;1837D. Raymond Riddle;4924;NameOf Company;Z;Z;Z;Z;Z;Z;Z;1st National Bank Atlanta;1st National Bank Atlanta;1st National Bank Atlanta;1st National Bank Atlanta;1st National Bank Atlanta;1st National Bank Atlanta;1st National Bank Atlanta;1st National Bank Atlanta;1st National Bank Atlanta;1st National Bank Atlanta;1st National Bank Atlanta;1st National Bank Atlanta;1st National Bank Atlanta;1st National Bank Atlanta;1st National Bank Atlanta;1st National Bank Atlanta;1st National Bank Atlanta;1st National Bank Atlanta;1st National Bank Atlanta;1st National Bank Atlanta;1st National Bank Atlanta;1st National Bank Atlanta;1st National Bank Atlanta;1st National Bank Atlanta;1st National Bank Atlanta;1st National Bank Atlanta;1st National Bank Atlanta;1st National Bank Atlanta;1st National Bank Atlanta;1st National Bank Atlanta6021;Z;Z;Z;Z;Z;Z;Z;Z;Z;Z;Z;Z;Z;Z;Z;Z;Z;Z;Atlanta Gas Light Co;Z;Z;Z;Z;Z;Z;Z;Z;Z;Z;Z;Z;Z;Z;Z
AGL RESOURCES INC;D. Raymond Riddle;1837D. Raymond Riddle;4924;Titles;Z;Z;Z;Z;Z;Z;Z;H;H;H;H;H;H;H;H;H;H;H;H;H;H;H;H;H;H;J;J;J;J;J;J;J;J;J;J;J;K;Z;Z;Z;Z;Z;Z;Z;Z;Z;Z;Z;Z;Z;Z;Z;Z;Z;Z;L;Z;Z;Z;Z;Z;Z;Z;Z;Z;Z;Z;Z;Z;Z;Z
AGL RESOURCES INC;D. Raymond Riddle;1837D. Raymond Riddle;4924;DesignationDetail;Z;Z;Z;Z;Z;Z;Z;With;With;With;With;With;With;With;With;With;With;With;With;With;With;With;With;With;With;pres., COO;pres., COO;pres., COO;pres., COO;pres., COO;pres., COO;pres., COO;pres., COO;pres., COO;pres., COO;pres., COO;pres., CEO;Z;Z;Z;Z;Z;Z;Z;Z;Z;Z;Z;Z;Z;Z;Z;Z;Z;Z;CEO;Z;Z;Z;Z;Z;Z;Z;Z;Z;Z;Z;Z;Z;Z;Z
AGL RESOURCES INC;D. Raymond Riddle;1837D. Raymond Riddle;4924;Changes;Z;Z;Z;Z;Z;Z;Z;1;1;1;1;2;1;1;1;1;2;1;1;1;1;2;1;1;1;2;1;1;1;1;1;1;1;1;1;1;2;Z;Z;Z;Z;Z;Z;Z;Z;Z;Z;Z;Z;Z;Z;Z;Z;Z;Z;3;Z;Z;Z;Z;Z;Z;Z;Z;Z;Z;Z;Z;Z;Z;Z
AGL RESOURCES INC;D. Raymond Riddle;1837D. Raymond Riddle;4924;Board Memberships;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;Z;Z;Z;Z;Z;Z;Z;Z;Z;Z;Z;Z;Z;Z;Z;Z;Z;Z;2;Z;Z;Z;Z;Z;Z;Z;Z;Z;Z;Z;Z;Z;Z;Z
AGL RESOURCES INC;John W. Somerhalder, II;1837John W. Somerhalder, II;4924;Companies;Z;Z;Z;Z;Z;Z;Z;Z;Z;Z;Z;Z;Z;Z;Z;Z;Z;Z;Z;Z;Z;Z;Z;Z;Z;Z;Z;Z;Z;Z;Z;Z;Z;Z;Z;Z;Z;Z;Z;Z;Z;B;B;B;B;B;B;B;B;B;B;B;B;B;B;A;A;A;A;A;A;A;Z;Z;Z;Z;Z;Z;Z;Z;Z
AGL RESOURCES INC;John W. Somerhalder, II;1837John W. Somerhalder, II;4924;nameOf Company;Z;Z;Z;Z;Z;Z;Z;Z;Z;Z;Z;Z;Z;Z;Z;Z;Z;Z;Z;Z;Z;Z;Z;Z;Z;Z;Z;Z;Z;Z;Z;Z;Z;Z;Z;Z;Z;Z;Z;Z;Z;El Paso Corp., Houston 4922;El Paso Corp., Houston 1321;El Paso Corp., Houston;El Paso Corp., Houston;El Paso Corp., Houston;El Paso Corp., Houston;El Paso Corp., Houston;El Paso Corp., Houston;El Paso Corp., Houston;El Paso Corp., Houston;El Paso Corp., Houston;El Paso Corp., Houston;El Paso Corp., Houston;El Paso Corp., Houston;AGL Resources, Inc.;AGL Resources, Inc.;AGL Resources, Inc.;AGL Resources, Inc.;AGL Resources, Inc.;AGL Resources, Inc.;AGL Resources, Inc.;Z;Z;Z;Z;Z;Z;Z;Z;Z
AGL RESOURCES INC;John W. Somerhalder, II;1837John W. Somerhalder, II;4924;Titles;Z;Z;Z;Z;Z;Z;Z;Z;Z;Z;Z;Z;Z;Z;Z;Z;Z;Z;Z;Z;Z;Z;Z;Z;Z;Z;Z;Z;Z;Z;Z;Z;Z;Z;Z;Z;Z;Z;Z;Z;Z;D;D;D;D;K;K;K;K;K;K;K;K;K;K;L;L;L;L;L;L;L;Z;Z;Z;Z;Z;Z;Z;Z;Z
AGL RESOURCES INC;John W. Somerhalder, II;1837John W. Somerhalder, II;4924;DesignationDetail;Z;Z;Z;Z;Z;Z;Z;Z;Z;Z;Z;Z;Z;Z;Z;Z;Z;Z;Z;Z;Z;Z;Z;Z;Z;Z;Z;Z;Z;Z;Z;Z;Z;Z;Z;Z;Z;Z;Z;Z;Z;sr. v.p.;sr. v.p.;sr. v.p.;sr. v.p.;pres. El Paso Energy Resources Co.,exec. v.p. pipeline group;pres. El Paso Energy Resources Co.,exec. v.p. pipeline group;pres. El Paso Energy Resources Co.,exec. v.p. pipeline group;pres. pipeline group,exec. v.p.;pres. pipeline group,exec. v.p.;pres. pipeline group,exec. v.p.;pres. pipeline group,exec. v.p.;pres. pipeline group,exec. v.p.;pres. pipeline group,exec. v.p.;pres. pipeline group,exec. v.p.;pres., CEO;pres., CEO, chairman;pres., CEO, chairman;pres., CEO, chairman;pres., CEO, chairman;pres., CEO, chairman;pres., CEO, chairman;Z;Z;Z;Z;Z;Z;Z;Z;Z
AGL RESOURCES INC;John W. Somerhalder, II;1837John W. Somerhalder, II;4924;Changes;Z;Z;Z;Z;Z;Z;Z;Z;Z;Z;Z;Z;Z;Z;Z;Z;Z;Z;Z;Z;Z;Z;Z;Z;Z;Z;Z;Z;Z;Z;Z;Z;Z;Z;Z;Z;Z;Z;Z;Z;Z;1;1;1;1;2;1;1;2;1;1;1;1;1;1;3;2;2;2;2;2;2;Z;Z;Z;Z;Z;Z;Z;Z;Z
AGL RESOURCES INC;John W. Somerhalder, II;1837John W. Somerhalder, II;4924;Board Memberships;Z;Z;Z;Z;Z;Z;Z;Z;Z;Z;Z;Z;Z;Z;Z;Z;Z;Z;Z;Z;Z;Z;Z;Z;Z;Z;Z;Z;Z;Z;Z;Z;Z;Z;Z;Z;Z;Z;Z;Z;Z;1;1;1;1;1;1;1;1;1;1;1;1;1;1;2;2;2;2;2;2;2;Z;Z;Z;Z;Z;Z;Z;Z;Z
AIR PRODUCTS & CHEMICALS INC;John P. Jones, III;1209John P. Jones, III;2813;Companies;Z;Z;Z;Z;Z;Z;Z;Z;Z;Z;Z;Z;Z;Z;Z;Z;Z;Z;Z;Z;Z;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;Z;Z;Z;Z;Z;Z;Z;Z;Z;Z;Z;Z;Z
AIR PRODUCTS & CHEMICALS INC;John P. Jones, III;1209John P. Jones, III;2813;NameOf Company;Z;Z;Z;Z;Z;Z;Z;Z;Z;Z;Z;Z;Z;Z;Z;Z;Z;Z;Z;Z;Z;Air Products and Chem. Inc.;Air Products and Chem. Inc.;Air Products and Chem. Inc.;Air Products and Chem. Inc.;Air Products and Chem. Inc.;Air Products and Chem. Inc.;Air Products and Chem. Inc.;Air Products and Chem. Inc.;Air Products and Chem. Inc.;Air Products and Chem. Inc.;Air Products and Chem. Inc.;Air Products and Chem. Inc.;Air Products and Chem. Inc.;Air Products and Chem. Inc.;Air Products and Chem. Inc.;Air Products and Chem. Inc.;Air Products and Chem. Inc.;Air Products and Chem. Inc.;Air Products and Chem. Inc.;Air Products and Chem. Inc.;Air Products and Chem. Inc.;Air Products and Chem. Inc.;Air Products and Chem. Inc.;Air Products and Chem. Inc.;Air Products and Chem. Inc.;Air Products and Chem. Inc.;Air Products and Chem. Inc.;Air Products and Chem. Inc.;Air Products and Chem. Inc.;Air Products and Chem. Inc.;Air Products and Chem. Inc.;Air Products and Chem. Inc.;Air Products and Chem. Inc.;Air Products and Chem. Inc.;Air Products and Chem. Inc.;Air Products and Chem. Inc.;Air Products and Chem. Inc.;Z;Z;Z;Z;Z;Z;Z;Z;Z;Z;Z;Z;Z
AIR PRODUCTS & CHEMICALS INC;John P. Jones, III;1209John P. Jones, III;2813;Titles;Z;Z;Z;Z;Z;Z;Z;Z;Z;Z;Z;Z;Z;Z;Z;Z;Z;Z;Z;Z;Z;H;H;H;H;H;H;H;H;H;D;D;D;D;D;D;D;K;K;K;K;D;D;D;D;D;D;J;J;L;L;L;L;L;L;L;L;L;Z;Z;Z;Z;Z;Z;Z;Z;Z;Z;Z;Z;Z
AIR PRODUCTS & CHEMICALS INC;John P. Jones, III;1209John P. Jones, III;2813;DesignationDetail;Z;Z;Z;Z;Z;Z;Z;Z;Z;Z;Z;Z;Z;Z;Z;Z;Z;Z;Z;Z;Z;with;with;with;with;with;with;with;with;with;VP International Coal Refining;VP International Coal Refining;VP Stearns Catalytic World Corp;VP Stearns Catalytic World Corp;VP Stearns Catalytic World Corp;VP Stearns Eastern Region;VP Environmental Systems;v.p., gen. mgr. Environ. & Energy Divsn.;v.p., gen. mgr. Environ. & Energy Divsn.;v.p., gen. mgr. Environ. & Energy Divsn.;v.p., gen. mgr. Environ. & Energy Divsn.;group v.p. Process Sys. Group,;pres.;pres.;pres.;exec. v.p. Gases & Equipment,;exec. v.p. Gases & Equipment,;pres., COO;pres., COO;chmn., pres., CEO;chmn., pres., CEO;chmn., pres., CEO;chmn., pres., CEO;chmn., pres., CEO;chmn., pres., CEO;chmn., CEO;chmn., CEO;chmn.,;Z;Z;Z;Z;Z;Z;Z;Z;Z;Z;Z;Z;Z
AIR PRODUCTS & CHEMICALS INC;John P. Jones, III;1209John P. Jones, III;2813;Changes;Z;Z;Z;Z;Z;Z;Z;Z;Z;Z;Z;Z;Z;Z;Z;Z;Z;Z;Z;Z;Z;1;1;1;1;2;1;1;1;1;2;1;2;1;1;2;2;2;1;1;1;2;2;1;1;2;1;2;1;2;1;1;1;1;1;2;2;1;Z;Z;Z;Z;Z;Z;Z;Z;Z;Z;Z;Z;Z
AIR PRODUCTS & CHEMICALS INC;John P. Jones, III;1209John P. Jones, III;2813;Board Memberships;Z;Z;Z;Z;Z;Z;Z;Z;Z;Z;Z;Z;Z;Z;Z;Z;Z;Z;Z;Z;Z;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;2;2;2;2;2;2;2;4;4;4;4;Z;Z;Z;Z;Z;Z;Z;Z;Z;Z;Z;Z;Z
AIR PRODUCTS & CHEMICALS INC;John E. McGlade;1209John E. McGlade;2813;Companies;Z;Z;Z;Z;Z;Z;Z;Z;Z;Z;Z;Z;Z;Z;Z;Z;Z;Z;Z;Z;Z;Z;Z;Z;Z;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;Z;Z;Z;Z;Z;Z;Z;Z;Z
AIR PRODUCTS & CHEMICALS INC;John E. McGlade;1209John E. McGlade;2813;NameOf Company;Z;Z;Z;Z;Z;Z;Z;Z;Z;Z;Z;Z;Z;Z;Z;Z;Z;Z;Z;Z;Z;Z;Z;Z;Z;Air Products & Chemicals, Inc.;Air Products & Chemicals, Inc.;Air Products & Chemicals, Inc.;Air Products & Chemicals, Inc.;Air Products & Chemicals, Inc.;Air Products & Chemicals, Inc.;Air Products & Chemicals, Inc.;Air Products & Chemicals, Inc.;Air Products & Chemicals, Inc.;Air Products & Chemicals, Inc.;Air Products & Chemicals, Inc.;Air Products & Chemicals, Inc.;Air Products & Chemicals, Inc.;Air Products & Chemicals, Inc.;Air Products & Chemicals, Inc.;Air Products & Chemicals, Inc.;Air Products & Chemicals, Inc.;Air Products & Chemicals, Inc.;Air Products & Chemicals, Inc.;Air Products & Chemicals, Inc.;Air Products & Chemicals, Inc.;Air Products & Chemicals, Inc.;Air Products & Chemicals, Inc.;Air Products & Chemicals, Inc.;Air Products & Chemicals, Inc.;Air Products & Chemicals, Inc.;Air Products & Chemicals, Inc.;Air Products & Chemicals, Inc.;Air Products & Chemicals, Inc.;Air Products & Chemicals, Inc.;Air Products & Chemicals, Inc.;Air Products & Chemicals, Inc.;Air Products & Chemicals, Inc.;Air Products & Chemicals, Inc.;Air Products & Chemicals, Inc.;Air Products & Chemicals, Inc.;Air Products & Chemicals, Inc.;Z;Z;Z;Z;Z;Z;Z;Z;Z
AIR PRODUCTS & CHEMICALS INC;John E. McGlade;1209John E. McGlade;2813;Titles;Z;Z;Z;Z;Z;Z;Z;Z;Z;Z;Z;Z;Z;Z;Z;Z;Z;Z;Z;Z;Z;Z;Z;Z;Z;D;D;D;D;D;D;D;D;D;D;D;D;D;D;D;D;D;D;D;D;D;D;K;K;K;K;K;D;D;D;L;L;L;L;L;L;L;Z;Z;Z;Z;Z;Z;Z;Z;Z
AIR PRODUCTS & CHEMICALS INC;John E. McGlade;1209John E. McGlade;2813;DesignationDetail;Z;Z;Z;Z;Z;Z;Z;Z;Z;Z;Z;Z;Z;Z;Z;Z;Z;Z;Z;Z;Z;Z;Z;Z;Z;mgmt. positions;mgmt. positions;mgmt. positions;mgmt. positions;mgmt. positions;mgmt. positions;mgmt. positions;mgmt. positions;mgmt. positions;mgmt. positions;mgmt. positions;mgmt. positions;mgmt. positions;mgmt. positions;mgmt. positions;mgmt. positions;mgmt. positions;mgmt. positions;gen. mgr., chem. & process ind. div.,;gen. mgr., chem. & process ind. div.,;v.p., chem. & process ind. div.;v.p., chem. & process ind. div.;v.p., gen. mgr., chem., process ind. & energy sys.,;v.p., gen. mgr., chem., process ind. & energy sys.,;v.p., gen. mgr., chem., process ind. & energy sys.,;v.p., gen. mgr., performance materials div.,;v.p., gen. mgr., performance materials div.,;v.p., chemicals group,group v.p., chemicals group;group v.p., chemicals group;group v.p., chemicals group;CEO,president;CEO,president;CEO,president;CEO,president;CEO,president;CEO,president;CEO,president;Z;Z;Z;Z;Z;Z;Z;Z;Z
AIR PRODUCTS & CHEMICALS INC;John E. McGlade;1209John E. McGlade;2813;Changes;Z;Z;Z;Z;Z;Z;Z;Z;Z;Z;Z;Z;Z;Z;Z;Z;Z;Z;Z;Z;Z;Z;Z;Z;Z;1;1;1;1;2;1;1;1;1;2;1;1;1;1;2;1;1;1;2;1;2;1;2;1;1;2;1;2;1;1;2;2;1;2;1;1;1;Z;Z;Z;Z;Z;Z;Z;Z;Z
AIR PRODUCTS & CHEMICALS INC;John E. McGlade;1209John E. McGlade;2813;Board Memberships;Z;Z;Z;Z;Z;Z;Z;Z;Z;Z;Z;Z;Z;Z;Z;Z;Z;Z;Z;Z;Z;Z;Z;Z;Z;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;2;2;2;2;2;2;Z;Z;Z;Z;Z;Z;Z;Z;Z
AIRGAS INC;Michael L. Molinini;12950Michael L. Molinini;5169;Companies;Z;Z;Z;Z;Z;Z;Z;Z;Z;Z;Z;Z;Z;Z;Z;Z;Z;Z;Z;Z;Z;C;C;C;C;C;C;C;C;C;C;C;C;C;C;C;C;C;C;C;C;C;C;C;C;C;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;Z;Z;Z;Z;Z;Z;Z;Z;Z
AIRGAS INC;Michael L. Molinini;12950Michael L. Molinini;5169;NameOf Company;Z;Z;Z;Z;Z;Z;Z;Z;Z;Z;Z;Z;Z;Z;Z;Z;Z;Z;Z;Z;Z;Union Carbide Corp. 2869;Union Carbide Corp.;Union Carbide Corp.;Union Carbide Corp.;Union Carbide Corp.;Union Carbide Corp.;Union Carbide Corp.;Union Carbide Corp.;Union Carbide Corp.;Union Carbide Corp.;Union Carbide Corp.;Union Carbide Corp.;Union Carbide Corp.;Union Carbide Corp.;Union Carbide Corp.;Union Carbide Corp.;Union Carbide Corp.;Union Carbide Corp.;Union Carbide Corp.;Nat. Welders Supply Co. Inc. 5084;Nat. Welders Supply Co. Inc.;Nat. Welders Supply Co. Inc.;Nat. Welders Supply Co. Inc.;Nat. Welders Supply Co. Inc.;Nat. Welders Supply Co. Inc.;Airgas, Inc.;Airgas, Inc.;Airgas, Inc.;Airgas, Inc.;Airgas, Inc.;Airgas, Inc.;Airgas, Inc.;Airgas, Inc.;Airgas, Inc.;Airgas, Inc.;Airgas, Inc.;Airgas, Inc.;Airgas, Inc.;Airgas, Inc.;Airgas, Inc.;Airgas, Inc.;Z;Z;Z;Z;Z;Z;Z;Z;Z
